sentence_num,token,ner
Sentence: 1,Thousands,O
Sentence: 1,of,O
Sentence: 1,demonstrators,O
Sentence: 1,have,O
Sentence: 1,marched,O
Sentence: 1,through,O
Sentence: 1,London,B-geo
Sentence: 1,to,O
Sentence: 1,protest,O
Sentence: 1,the,O
Sentence: 1,war,O
Sentence: 1,in,O
Sentence: 1,Iraq,B-geo
Sentence: 1,and,O
Sentence: 1,demand,O
Sentence: 1,the,O
Sentence: 1,withdrawal,O
Sentence: 1,of,O
Sentence: 1,British,B-gpe
Sentence: 1,troops,O
Sentence: 1,from,O
Sentence: 1,that,O
Sentence: 1,country,O
Sentence: 1,.,O
Sentence: 2,Families,O
Sentence: 2,of,O
Sentence: 2,soldiers,O
Sentence: 2,killed,O
Sentence: 2,in,O
Sentence: 2,the,O
Sentence: 2,conflict,O
Sentence: 2,joined,O
Sentence: 2,the,O
Sentence: 2,protesters,O
Sentence: 2,who,O
Sentence: 2,carried,O
Sentence: 2,banners,O
Sentence: 2,with,O
Sentence: 2,such,O
Sentence: 2,slogans,O
Sentence: 2,as,O
Sentence: 2,"""",O
Sentence: 2,Bush,B-per
Sentence: 2,Number,O
Sentence: 2,One,O
Sentence: 2,Terrorist,O
Sentence: 2,"""",O
Sentence: 2,and,O
Sentence: 2,"""",O
Sentence: 2,Stop,O
Sentence: 2,the,O
Sentence: 2,Bombings,O
Sentence: 2,.,O
Sentence: 2,"""",O
Sentence: 3,They,O
Sentence: 3,marched,O
Sentence: 3,from,O
Sentence: 3,the,O
Sentence: 3,Houses,O
Sentence: 3,of,O
Sentence: 3,Parliament,O
Sentence: 3,to,O
Sentence: 3,a,O
Sentence: 3,rally,O
Sentence: 3,in,O
Sentence: 3,Hyde,B-geo
Sentence: 3,Park,I-geo
Sentence: 3,.,O
Sentence: 4,Police,O
Sentence: 4,put,O
Sentence: 4,the,O
Sentence: 4,number,O
Sentence: 4,of,O
Sentence: 4,marchers,O
Sentence: 4,at,O
Sentence: 4,"10,000",O
Sentence: 4,while,O
Sentence: 4,organizers,O
Sentence: 4,claimed,O
Sentence: 4,it,O
Sentence: 4,was,O
Sentence: 4,"1,00,000",O
Sentence: 4,.,O
Sentence: 5,The,O
Sentence: 5,protest,O
Sentence: 5,comes,O
Sentence: 5,on,O
Sentence: 5,the,O
Sentence: 5,eve,O
Sentence: 5,of,O
Sentence: 5,the,O
Sentence: 5,annual,O
Sentence: 5,conference,O
Sentence: 5,of,O
Sentence: 5,Britain,B-geo
Sentence: 5,'s,O
Sentence: 5,ruling,O
Sentence: 5,Labor,B-org
Sentence: 5,Party,I-org
Sentence: 5,in,O
Sentence: 5,the,O
Sentence: 5,southern,O
Sentence: 5,English,B-gpe
Sentence: 5,seaside,O
Sentence: 5,resort,O
Sentence: 5,of,O
Sentence: 5,Brighton,B-geo
Sentence: 5,.,O
Sentence: 6,The,O
Sentence: 6,party,O
Sentence: 6,is,O
Sentence: 6,divided,O
Sentence: 6,over,O
Sentence: 6,Britain,B-gpe
Sentence: 6,'s,O
Sentence: 6,participation,O
Sentence: 6,in,O
Sentence: 6,the,O
Sentence: 6,Iraq,B-geo
Sentence: 6,conflict,O
Sentence: 6,and,O
Sentence: 6,the,O
Sentence: 6,continued,O
Sentence: 6,deployment,O
Sentence: 6,of,O
Sentence: 6,"8,500",O
Sentence: 6,British,B-gpe
Sentence: 6,troops,O
Sentence: 6,in,O
Sentence: 6,that,O
Sentence: 6,country,O
Sentence: 6,.,O
Sentence: 7,The,O
Sentence: 7,London,B-geo
Sentence: 7,march,O
Sentence: 7,came,O
Sentence: 7,ahead,O
Sentence: 7,of,O
Sentence: 7,anti-war,O
Sentence: 7,protests,O
Sentence: 7,today,O
Sentence: 7,in,O
Sentence: 7,other,O
Sentence: 7,cities,O
Sentence: 7,",",O
Sentence: 7,including,O
Sentence: 7,Rome,B-geo
Sentence: 7,",",O
Sentence: 7,Paris,B-geo
Sentence: 7,",",O
Sentence: 7,and,O
Sentence: 7,Madrid,B-geo
Sentence: 7,.,O
Sentence: 8,The,O
Sentence: 8,International,B-org
Sentence: 8,Atomic,I-org
Sentence: 8,Energy,I-org
Sentence: 8,Agency,I-org
Sentence: 8,is,O
Sentence: 8,to,O
Sentence: 8,hold,O
Sentence: 8,second,O
Sentence: 8,day,O
Sentence: 8,of,O
Sentence: 8,talks,O
Sentence: 8,in,O
Sentence: 8,Vienna,B-geo
Sentence: 8,Wednesday,B-tim
Sentence: 8,on,O
Sentence: 8,how,O
Sentence: 8,to,O
Sentence: 8,respond,O
Sentence: 8,to,O
Sentence: 8,Iran,B-gpe
Sentence: 8,'s,O
Sentence: 8,resumption,O
Sentence: 8,of,O
Sentence: 8,low-level,O
Sentence: 8,uranium,O
Sentence: 8,conversion,O
Sentence: 8,.,O
Sentence: 9,Iran,B-gpe
Sentence: 9,this,O
Sentence: 9,week,O
Sentence: 9,restarted,O
Sentence: 9,parts,O
Sentence: 9,of,O
Sentence: 9,the,O
Sentence: 9,conversion,O
Sentence: 9,process,O
Sentence: 9,at,O
Sentence: 9,its,O
Sentence: 9,Isfahan,B-geo
Sentence: 9,nuclear,O
Sentence: 9,plant,O
Sentence: 9,.,O
Sentence: 10,Iranian,B-gpe
Sentence: 10,officials,O
Sentence: 10,say,O
Sentence: 10,they,O
Sentence: 10,expect,O
Sentence: 10,to,O
Sentence: 10,get,O
Sentence: 10,access,O
Sentence: 10,to,O
Sentence: 10,sealed,O
Sentence: 10,sensitive,O
Sentence: 10,parts,O
Sentence: 10,of,O
Sentence: 10,the,O
Sentence: 10,plant,O
Sentence: 10,Wednesday,B-tim
Sentence: 10,",",O
Sentence: 10,after,O
Sentence: 10,an,O
Sentence: 10,IAEA,B-org
Sentence: 10,surveillance,O
Sentence: 10,system,O
Sentence: 10,begins,O
Sentence: 10,functioning,O
Sentence: 10,.,O
Sentence: 11,The,O
Sentence: 11,step,O
Sentence: 11,will,O
Sentence: 11,allow,O
Sentence: 11,the,O
Sentence: 11,facility,O
Sentence: 11,to,O
Sentence: 11,operate,O
Sentence: 11,at,O
Sentence: 11,full,O
Sentence: 11,capacity,O
Sentence: 11,.,O
Sentence: 12,The,O
Sentence: 12,European,B-org
Sentence: 12,Union,I-org
Sentence: 12,",",O
Sentence: 12,with,O
Sentence: 12,U.S.,B-gpe
Sentence: 12,backing,O
Sentence: 12,",",O
Sentence: 12,has,O
Sentence: 12,threatened,O
